timestamp tx ty tz qx qy qz qw
1683460050.4615643 -2.2347 -8.4126 0.9455 0.0 0.0 0.0 0.0
1683460050.9574509 -2.317 -8.4022 0.9498 0.0 0.0 0.0 0.0
1683460051.1653652 -2.3648 -8.3708 0.9514 0.0 0.0 0.0 0.0
1683460051.4693518 -2.4455 -8.3532 0.9463 0.0 0.0 0.0 0.0
1683460051.7573383 -2.5056 -8.3254 0.9407 0.0 0.0 0.0 0.0
1683460051.965263 -2.6379 -8.2836 0.9456 0.0 0.0 0.0 0.0
1683460052.2052767 -2.7195 -8.2492 0.9451 0.0 0.0 0.0 0.0
1683460052.477209 -2.8359 -8.2116 0.9454 0.0 0.0 0.0 0.0
1683460052.685159 -2.8359 -8.2116 0.9454 0.0 0.0 0.0 0.0
1683460052.9570887 -3.0071 -8.1763 0.9376 0.0 0.0 0.0 0.0
1683460053.2290893 -3.1105 -8.1193 0.937 0.0 0.0 0.0 0.0
1683460053.4850326 -3.1638 -8.0649 0.9311 0.0 0.0 0.0 0.0
1683460053.740979 -3.2547 -7.9665 0.9213 0.0 0.0 0.0 0.0
1683460054.1249409 -3.2848 -7.9146 0.917 0.0 0.0 0.0 0.0
1683460054.3167214 -3.3847 -7.803 0.9077 0.0 0.0 0.0 0.0
1683460054.5726304 -3.43 -7.7422 0.8971 0.0 0.0 0.0 0.0
1683460054.7966387 -3.4707 -7.665 0.8947 0.0 0.0 0.0 0.0
1683460055.2445548 -3.5063 -7.5113 0.883 0.0 0.0 0.0 0.0
1683460055.5646412 -3.4894 -7.3961 0.8749 0.0 0.0 0.0 0.0
1683460055.8045945 -3.4894 -7.3961 0.8749 0.0 0.0 0.0 0.0
1683460056.0125663 -3.4545 -7.2412 0.8707 0.0 0.0 0.0 0.0
1683460056.30048 -3.4265 -7.1248 0.8702 0.0 0.0 0.0 0.0
1683460056.572462 -3.4041 -7.0239 0.8685 0.0 0.0 0.0 0.0
1683460056.9564097 -3.3762 -6.927 0.8613 0.0 0.0 0.0 0.0
1683460057.2283533 -3.3595 -6.8079 0.8617 0.0 0.0 0.0 0.0
